CPU: Intel Sandy Bridge microarchitecture, speed 2.301e+06 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 200000
samples  cum. samples  %        cum. %     linenr info                 image name               symbol name
695      5459064        0.0125  98.2521    mempolicy.c:1546            vmlinux                  get_vma_policy
694      5459758        0.0125  98.2646    buffer.c:1794               vmlinux                  __block_write_begin
690      5460448        0.0124  98.2771    t_set.c:365                 redis-server             spopCommand
689      5461137        0.0124  98.2895    mempolicy.c:1591            vmlinux                  policy_zonelist
678      5461815        0.0122  98.3017    mempolicy.c:1578            vmlinux                  policy_nodemask
674      5462489        0.0121  98.3138    sock.c:1840                 vmlinux                  __sk_mem_schedule
671      5463160        0.0121  98.3259    datagram.c:310              vmlinux                  skb_copy_datagram_iovec
670      5463830        0.0121  98.3379    tcp_ipv4.c:1610             vmlinux                  tcp_v4_do_rcv
665      5464495        0.0120  98.3499    arena.c:1490                redis-server             arena_malloc_large
661      5465156        0.0119  98.3618    (no location information)   libpthread-2.16.so       pthread_mutex_unlock
660      5465816        0.0119  98.3737    tcp_input.c:3123            vmlinux                  tcp_rearm_rto
658      5466474        0.0118  98.3855    clock.c:215                 vmlinux                  sched_clock_cpu
656      5467130        0.0118  98.3973    core.c:4180                 vmlinux                  idle_cpu
656      5467786        0.0118  98.4091    fair.c:823                  vmlinux                  update_cfs_load
651      5468437        0.0117  98.4208    softirq.c:128               vmlinux                  local_bh_disable
648      5469085        0.0117  98.4325    read_write.c:367            vmlinux                  vfs_read
647      5469732        0.0116  98.4441    read_write.c:481            vmlinux                  sys_write
646      5470378        0.0116  98.4558    iovec.c:83                  vmlinux                  memcpy_toiovec
642      5471020        0.0116  98.4673    page_alloc.c:1643           vmlinux                  zone_watermark_ok
634      5471654        0.0114  98.4787    fair.c:1087                 vmlinux                  enqueue_entity
628      5472282        0.0113  98.4900    vmstat.h:94                 vmlinux                  zone_page_state_add
623      5472905        0.0112  98.5013    entry_64.S:1258             vmlinux                  call_softirq
623      5473528        0.0112  98.5125    vmscan.c:3393               vmlinux                  page_evictable
622      5474150        0.0112  98.5237    timer.c:337                 vmlinux                  __internal_add_timer
610      5474760        0.0110  98.5346    timer.c:1381                vmlinux                  run_timer_softirq
605      5475365        0.0109  98.5455    core.c:512                  vmlinux                  resched_task
601      5475966        0.0108  98.5563    tsc.c:56                    vmlinux                  native_sched_clock
594      5476560        0.0107  98.5670    core.c:3019                 vmlinux                  irqtime_account_process_tick.isra.74
590      5477150        0.0106  98.5777    t_set.c:47                  redis-server             setTypeAdd
582      5477732        0.0105  98.5881    sock.c:2217                 vmlinux                  release_sock
581      5478313        0.0105  98.5986    entry_64.S:1522             vmlinux                  error_exit
567      5478880        0.0102  98.6088    arena.c:103                 redis-server             arena_run_tree_remove
566      5479446        0.0102  98.6190    (no location information)   libpthread-2.16.so       __pthread_disable_asynccancel
565      5480011        0.0102  98.6291    arena.c:1220                redis-server             arena_bin_nonfull_run_get
562      5480573        0.0101  98.6393    vmstat.c:271                vmlinux                  __inc_zone_page_state
562      5481135        0.0101  98.6494    tcp_output.c:1466           vmlinux                  tcp_current_mss
559      5481694        0.0101  98.6594    memcontrol.c:2820           vmlinux                  mem_cgroup_newpage_charge
549      5482243        0.0099  98.6693    slub.c:2199                 vmlinux                  __slab_alloc
543      5482786        0.0098  98.6791    tcp_input.c:4538            vmlinux                  tcp_queue_rcv
541      5483327        0.0097  98.6888    core.c:117                  vmlinux                  update_rq_clock
539      5483866        0.0097  98.6985    route.c:1116                vmlinux                  ipv4_mtu
538      5484404        0.0097  98.7082    object.c:255                redis-server             checkType
537      5484941        0.0097  98.7179    core.c:174                  vmlinux                  nf_hook_slow
528      5485469        0.0095  98.7274    mutex.c:84                  vmlinux                  mutex_lock
527      5485996        0.0095  98.7369    memcontrol.c:1154           vmlinux                  mem_cgroup_update_lru_size
525      5486521        0.0094  98.7463    eth.c:158                   vmlinux                  eth_type_trans
523      5487044        0.0094  98.7557    softirq.c:191               vmlinux                  local_bh_enable_ip
517      5487561        0.0093  98.7650    tcp_ipv4.c:939              vmlinux                  tcp_md5_do_lookup
514      5488075        0.0093  98.7743    timekeeping.c:295           vmlinux                  getnstimeofday
511      5488586        0.0092  98.7835    tcp_ipv4.c:546              vmlinux                  __tcp_v4_send_check
509      5489095        0.0092  98.7926    core.c:1580                 vmlinux                  try_to_wake_up
506      5489601        0.0091  98.8017    route.c:1013                vmlinux                  ipv4_dst_check
505      5490106        0.0091  98.8108    page_alloc.c:1345           vmlinux                  free_hot_cold_page_list
503      5490609        0.0091  98.8199    timekeeping.c:1354          vmlinux                  do_timer
498      5491107        0.0090  98.8289    ae.c:106                    redis-server             aeCreateFileEvent
493      5491600        0.0089  98.8377    memory.c:274                vmlinux                  __tlb_remove_page
491      5492091        0.0088  98.8466    msr.h:101                   vmlinux                  native_write_msr_safe
490      5492581        0.0088  98.8554    tcp_output.c:782            vmlinux                  tcp_established_options
487      5493068        0.0088  98.8641    ip_output.c:95              vmlinux                  __ip_local_out
486      5493554        0.0087  98.8729    (no location information)   libpthread-2.16.so       __pthread_enable_asynccancel
484      5494038        0.0087  98.8816    filemap.c:444               vmlinux                  add_to_page_cache_locked
484      5494522        0.0087  98.8903    buffer.c:1495               vmlinux                  create_empty_buffers
481      5495003        0.0087  98.8990    fair.c:4952                 vmlinux                  trigger_load_balance
