CPU: Intel Sandy Bridge microarchitecture, speed 2294.79 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 200000
samples  cum. samples  %        cum. %     linenr info                 image name               symbol name
8291     5424159        0.1464  95.7539    dict.c:368                  redis-server             dictReplace
8207     5432366        0.1449  95.8987    object.c:273                redis-server             tryObjectEncoding
8112     5440478        0.1432  96.0419    db.c:503                    redis-server             expireIfNeeded
7490     5447968        0.1322  96.1742    object.c:152                redis-server             freeStringObject
6552     5454520        0.1157  96.2898    db.c:70                     redis-server             lookupKeyWrite
6509     5461029        0.1149  96.4047    arena.c:135                 redis-server             arena_avail_tree_remove
5955     5466984        0.1051  96.5099    arena.c:135                 redis-server             arena_avail_tree_insert
5946     5472930        0.1050  96.6148    dict.c:315                  redis-server             dictAdd
5760     5478690        0.1017  96.7165    networking.c:781            redis-server             resetClient
5748     5484438        0.1015  96.8180    networking.c:695            redis-server             sendReplyToClient
5563     5490001        0.0982  96.9162    redis.c:432                 redis-server             dictSdsHash
5458     5495459        0.0964  97.0125    redis.c:1471                redis-server             propagate
5130     5500589        0.0906  97.1031    db.c:116                    redis-server             setKey
4875     5505464        0.0861  97.1891    (no location information)   libc-2.16.so             __strcasecmp_avx
4723     5510187        0.0834  97.2725    db.c:103                    redis-server             dbOverwrite
4519     5514706        0.0798  97.3523    redis.c:398                 redis-server             dictSdsKeyCaseCompare
4508     5519214        0.0796  97.4319    sds.c:345                   redis-server             sdssplitlen
4422     5523636        0.0781  97.5099    networking.c:1013           redis-server             readQueryFromClient
4147     5527783        0.0732  97.5832    db.c:446                    redis-server             removeExpire
3869     5531652        0.0683  97.6515    object.c:215                redis-server             incrRefCount
3831     5535483        0.0676  97.7191    t_string.c:232              redis-server             msetGenericCommand
3829     5539312        0.0676  97.7867    util.c:310                  redis-server             string2l
3806     5543118        0.0672  97.8539    jemalloc.c:1078             redis-server             je_realloc
3619     5546737        0.0639  97.9178    tcache.c:84                 redis-server             tcache_bin_flush_small
3614     5550351        0.0638  97.9815    sds.c:70                    redis-server             sdsfree
3603     5553954        0.0636  98.0452    multi.c:269                 redis-server             touchWatchedKey
3446     5557400        0.0608  98.1060    (no location information)   libpthread-2.16.so       pthread_mutex_lock
3309     5560709        0.0584  98.1644    slowlog.c:113               redis-server             slowlogPushEntryIfNeeded
3217     5563926        0.0568  98.2212    arena.c:621                 redis-server             arena_run_alloc_helper.constprop.13
3068     5566994        0.0542  98.2754    t_string.c:269              redis-server             incrDecrCommand
3060     5570054        0.0540  98.3294    t_list.c:53                 redis-server             listTypePush
3031     5573085        0.0535  98.3829    (no location information)   libc-2.16.so             __ctype_tolower_loc
2891     5575976        0.0510  98.4339    arena.c:205                 redis-server             arena_chunk_dirty_remove
2880     5578856        0.0508  98.4848    tcache.c:29                 redis-server             tcache_event_hard
2840     5581696        0.0501  98.5349    ae.c:319                    redis-server             aeProcessEvents
2706     5584402        0.0478  98.5827    zmalloc.c:149               redis-server             zrealloc
2601     5587003        0.0459  98.6286    t_list.c:297                redis-server             pushGenericCommand
2600     5589603        0.0459  98.6745    arena.c:205                 redis-server             arena_chunk_dirty_insert
2542     5592145        0.0449  98.7193    dict.c:501                  redis-server             dictFetchValue
2148     5594293        0.0379  98.7573    arena.c:372                 redis-server             arena_run_split.constprop.15
2132     5596425        0.0376  98.7949    t_list.c:491                redis-server             popGenericCommand
2006     5598431        0.0354  98.8303    t_set.c:250                 redis-server             saddCommand
2005     5600436        0.0354  98.8657    networking.c:790            redis-server             processInlineBuffer
1972     5602408        0.0348  98.9005    (no location information)   libc-2.16.so             __GI_____strtoll_l_internal
1922     5604330        0.0339  98.9345    t_string.c:68               redis-server             setCommand
1875     5606205        0.0331  98.9676    t_list.c:77                 redis-server             listTypePop
1864     5608069        0.0329  99.0005    arena.c:283                 redis-server             arena_avail_remove
1814     5609883        0.0320  99.0325    object.c:484                redis-server             getLongLongFromObjectOrReply
1811     5611694        0.0320  99.0645    object.c:460                redis-server             getLongLongFromObject
1788     5613482        0.0316  99.0960    (no location information)   libpthread-2.16.so       __pthread_mutex_unlock_usercnt
1740     5615222        0.0307  99.1267    db.c:81                     redis-server             lookupKeyWriteOrReply
1655     5616877        0.0292  99.1559    arena.c:962                 redis-server             arena_run_dalloc
1505     5618382        0.0266  99.1825    redis.c:436                 redis-server             dictSdsCaseHash
1481     5619863        0.0261  99.2087    sds.c:129                   redis-server             sdsAllocSize
1477     5621340        0.0261  99.2347    t_set.c:365                 redis-server             spopCommand
1459     5622799        0.0258  99.2605    adlist.c:81                 redis-server             listAddNodeHead
1415     5624214        0.0250  99.2855    (no location information)   libc-2.16.so             epoll_ctl
1410     5625624        0.0249  99.3104    dict.c:407                  redis-server             dictDelete
1398     5627022        0.0247  99.3350    (no location information)   libc-2.16.so             __strstr_sse42
1398     5628420        0.0247  99.3597    redis.c:1448                redis-server             lookupCommand
1331     5629751        0.0235  99.3832    t_list.c:114                redis-server             listTypeLength
1247     5630998        0.0220  99.4052    t_string.c:45               redis-server             setGenericCommand
1160     5632158        0.0205  99.4257    networking.c:318            redis-server             addReplyString
1142     5633300        0.0202  99.4459    arena.c:1490                redis-server             arena_malloc_large
1131     5634431        0.0200  99.4658    adlist.c:160                redis-server             listDelNode
1084     5635515        0.0191  99.4850    redis.c:715                 redis-server             clientsCronHandleTimeout
1061     5636576        0.0187  99.5037    (no location information)   libpthread-2.16.so       __pthread_enable_asynccancel
1015     5637591        0.0179  99.5216    redis.c:441                 redis-server             dictEncObjKeyCompare
986      5638577        0.0174  99.5390    (no location information)   libpthread-2.16.so       pthread_mutex_unlock
986      5639563        0.0174  99.5564    db.c:58                     redis-server             lookupKeyRead
943      5640506        0.0166  99.5731    object.c:53                 redis-server             createStringObjectFromLongLong
918      5641424        0.0162  99.5893    object.c:315                redis-server             getDecodedObject
908      5642332        0.0160  99.6053    arena.c:250                 redis-server             arena_avail_insert
891      5643223        0.0157  99.6210    db.c:75                     redis-server             lookupKeyReadOrReply
841      5644064        0.0148  99.6359    t_string.c:88               redis-server             getGenericCommand
811      5644875        0.0143  99.6502    ae.c:106                    redis-server             aeCreateFileEvent
794      5645669        0.0140  99.6642    arena.c:1220                redis-server             arena_bin_nonfull_run_get
779      5646448        0.0138  99.6780    redis.c:408                 redis-server             dictRedisObjectDestructor
767      5647215        0.0135  99.6915    t_set.c:47                  redis-server             setTypeAdd
745      5647960        0.0132  99.7047    (no location information)   libpthread-2.16.so       __pthread_disable_asynccancel
714      5648674        0.0126  99.7173    arena.c:103                 redis-server             arena_run_tree_remove
705      5649379        0.0124  99.7297    networking.c:232            redis-server             _addReplyStringToList
672      5650051        0.0119  99.7416    ae.c:122                    redis-server             aeDeleteFileEvent
